NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE;TYPE;TELEPHONE
K.S. Auto;Rue de la Providence;88;6030.0;Marchienne-au-Pont;Voiture;;071 53 41 00
Locamat-Locasol;Rue de Nimal;27;6030.0;Marchienne-au-Pont;Construction;;
Daly Coiffure;Rue des Bateliers;18;6030.0;Marchienne-au-Pont;Coiffeur;;0495 26 42 91
Cascio Electronics;Rue des Bateliers;41;6030.0;Marchienne-au-Pont;Informatique;;071 31 79 18
Auto-Ecole Bara;Rue Fesler;47;6030.0;Marchienne-au-Pont;Auto-école;;071 31 73 28
Coiffure Giovanni;Rue Léon Dubois;275;6030.0;Marchienne-au-Pont;Coiffeur;;
Yuksel Construct;Rue Eau-sur-Elle;35;6043.0;Ransart;Maison & Décoration;;071/37 54 27
Arnicus toilettage;Rue Masses Diarbois;101/A;6043.0;Ransart;Toilettage;;071/16.23.58
Texaco Express;Rue Masses Diarbois;168;6043.0;Ransart;Voiture;;071/35 63 66
La Corbeille d'Or;Rue Masses Diarbois;108;6043.0;Ransart;Alimentation générale;;071/34.66.88
L'Histoire du Pain;Rue Masses Diarbois;89;6043.0;Ransart;Boulangerie;;0491/17 57 33
Le Palais de la Bière;Rue Masses Diarbois;78;6043.0;Ransart;Café;;
Multimédia Store;Place Louis Delhaize;57;6043.0;Ransart;Informatique;;
Mercerie Feminin Masculin;Rue Masses Diarbois;60;6043.0;Ransart;Mode;Mercerie;071/35.45.04
CVF Motor;Chaussée de Gilly;310;6043.0;Ransart;Voiture;;071/37.63.00
RC Menuiserie SPRL;Rue du Vigneron;12;6043.0;Ransart;Construction;Menuiserie;0498/59 07 76
Funérarium Michel;Rue Paul Pastur;35;6043.0;Ransart;Funérarium;;071 81 12 13
BOUCHERIE AZOUAGH;Chaussée de Bruxelles;114;6020.0;Dampremy;Boucherie;;071 31 11 19
SERVICE AUTOMOBILES CENTER;Chaussée de Bruxelles;121, 125;6020.0;Dampremy;Voiture;;071 31 22 82
SOBELTAX;Chaussée de Bruxelles;186;6020.0;Dampremy;Voiture;;0800 82 812
ACTION;Chaussée de Bruxelles;265;6020.0;Dampremy;Solderie;;(+33) 1 55 56 41 52
SPORTS LIVE CENTER;Chaussée de Bruxelles;345;6020.0;Dampremy;Paris sportifs;;071/19.01.79
DS COIFFURE;Chaussée de Bruxelles;347;6020.0;Dampremy;Coiffeur;;071 63 45 63
CHP DECOR;Chaussée de Bruxelles;57;6020.0;Dampremy;Maison & Décoration;Peintures;071/32.80.65
AWA GLASS;Chaussée de Bruxelles;76;6020.0;Dampremy;Voiture;Vitrage;0475 414141
ALFARANO CONSTRUCT;Rue de Gaule;28;6020.0;Dampremy;Construction;;071 15 90 10
Q8;Rue de Mons;51;6020.0;Dampremy;Station essence;;03 241 35 35
LE FRANCAIS;Rue des Français;26;6020.0;Dampremy;Café;;
LE NEW PLAZA;Rue des Français;37;6020.0;Dampremy;Café;;071 32 26 59
COIFFURE;Rue des Français;84;6020.0;Dampremy;Coiffeur;;
PHARMACIE DE LA PAIRELLE;Rue Domaine Remy;68;6020.0;Dampremy;Pharmacie;;071 32 50 84
COOLS PNEUS;Rue du Centenaire;34;6020.0;Dampremy;Voiture;;071/317.393
CARROSSERIE PIRET;Rue Jean Jaurès;151A;6020.0;Dampremy;Voiture;;071 20 80 40
CARROSSERIE SALVATORE;Rue Joseph Wauters;16;6020.0;Dampremy;Voiture;;071 31 61 28
GARAGE LA VICTOIRE;Place Joseph Wauters;1;6044.0;Roux;Voiture;;071 35 51 55
PHARMACIE DEPREZ;Rue de Courcelles;100;6044.0;Roux;Pharmacie;;071 45 08 83
MATTIOLI FRERES;Rue de Heigne;66;6044.0;Roux;Construction;Matériaux;071/35.62.90
OZPEN SPRL;Rue de Jumet;20;6044.0;Roux;Construction;Châssis;071/34 14 29
ESTHETICAR;Rue de l'Estacade;5;6044.0;Roux;Voiture;;0491 22 09 73
GREEN EVOLUTION;Rue de Marchienne;12;6044.0;Roux;Maison & Décoration;Chauffage;0032 (0) 71 45 13 76
Couleurs Naturelles;Rue de Marchienne;12A;6044.0;Roux;Coiffeur;;0498 38 52 78
ELEGANCIA;Rue de Marchienne;83;6044.0;Roux;Bien-être;;0474 76 76 50
DB CONSTRUCT ET CHASSIS;Rue Maréchal Foch;37;6044.0;Roux;Construction;;071 87 83 52
LE MADISON;Rue Maréchal Foch;37A;6044.0;Roux;Café;;071 45 14 50
Librairie des Coquelicots;Rue des Coquelicots;2;6030.0;Goutroux;Librairie;;
COIFFURE RAPHAELLA;Rue des Liserons;11;6030.0;Goutroux;Coiffeur;;
LA BRETAGNE;Rue des Liserons;44;6030.0;Goutroux;Café;;
ART KANIN;Rue François Duray;11;6030.0;Goutroux;Toilettage;;
PLANET EXPRESS;Impasse des Grands Trieux;16;6031.0;Monceau-sur-Sambre;Alimentation générale;;
GARAGE BOCHI;Route de Trazegnies;303;6031.0;Monceau-sur-Sambre;Voiture;Garagiste;
EUROLIFT CENTER;Route de Trazegnies;338;6031.0;Monceau-sur-Sambre;Construction;Location matériel;071 31 23 40
CED RENOVATIONS;Route de Trazegnies;410;6031.0;Monceau-sur-Sambre;Construction;Rénovation;
DETIEGE;Rue de l'Enseignement;7;6031.0;Monceau-sur-Sambre;Coiffeur;;(+32) 71329999
Q8;Rue de Mons;100;6031.0;Monceau-sur-Sambre;Station essence;;071 33 40 52
COIFFURE OZDEMIR;Rue de Mons;24;6031.0;Monceau-sur-Sambre;Coiffeur;;
OURY-KAWASAKI;Rue de Mons;57;6031.0;Monceau-sur-Sambre;Voiture;Motos;0032 (0)71 - 31.58.69
TRX PNEUS;Rue de Roux;53;6031.0;Monceau-sur-Sambre;Voiture;Pneus;071 31 39 26
PHARMACIE BRISMEE;Rue des Barbieux;60;6031.0;Monceau-sur-Sambre;Pharmacie;;071 32 83 37
LES DOUCEURS DE MIA;Rue Dorlodot;86;6031.0;Monceau-sur-Sambre;Boulangerie;;
PLANET VIDEO;Rue Grands Trieux;17;6031.0;Monceau-sur-Sambre;Alimentation générale;;(+32) 71 31 20 24
AU P'TIT SATCHO;Avenue Paul Pastur;399;6032.0;Mont-sur-Marchienne;Snack;;0495 51 80 81
BT TOURS;Avenue Paul Pastur;418;6032.0;Mont-sur-Marchienne;Voyages;;071 47 89 65
CERCLE SAINT PAUL;Rue Camille Desy;3;6032.0;Mont-sur-Marchienne;Café;;071 36 57 48
CHARCOAL GRILL;Avenue Paul Pastur;18;6032.0;Mont-sur-Marchienne;Snack;;0495 83 36 69
COIFFURE A à Z;Place Roger Desaise;5;6032.0;Mont-sur-Marchienne;Coiffeur;;071 36 27 36
COIFFURE ANTONIA;Rue de France;65;6032.0;Mont-sur-Marchienne;Coiffeur;;0484 34 24 01
COIFFURE ESPRIT ORIGINAL;Rue des Goutteaux;52;6032.0;Mont-sur-Marchienne;Coiffeur;;0485 67 46 22
COIFFURE SERGE;Rue Pasteur;50;6032.0;Mont-sur-Marchienne;Coiffeur;;071 47 60 18
ESPACE MAINS;Avenue Paul Pastur;17;6032.0;Mont-sur-Marchienne;Bien-être;;071/51.19.11
GYROS GOLD;Avenue Paul Pastur;149;6032.0;Mont-sur-Marchienne;Snack;;0485 02 01 39
HAIR LIGNE;Avenue Paul Pastur;150;6032.0;Mont-sur-Marchienne;Coiffeur;;071 31 24 28
KOUZU;Avenue Paul Pastur;136;6032.0;Mont-sur-Marchienne;Mode;;071 30 64 66
L'Avenir Immobilier;Avenue Paul Pastur;381;6032.0;Mont-sur-Marchienne;Immobilier;;071 22 11 41
LC JARDIN;Rue de la Tombe;146;6032.0;Mont-sur-Marchienne;Autres;Parc et jardins;071 36 54 39
LE PAIN D'AUTREFOIS;Avenue Paul Pastur;20;6032.0;Mont-sur-Marchienne;Boulangerie;;071 43 13 52
LE VERSAILLES;Avenue Paul Pastur;130;6032.0;Mont-sur-Marchienne;Café;;
L'ETOILE;Avenue Paul Pastur;154;6032.0;Mont-sur-Marchienne;Café;;
LIBERT PHILIPPE;Rue de la Mardouille;31;6032.0;Mont-sur-Marchienne;Artisans;Marchand de bétail;071 36 75 79
LYS ET DELICES;Place Roger Desaise;1;6032.0;Mont-sur-Marchienne;Fleuriste;;
MORGAN OPTIC;Rue de l'Eglise;8;6032.0;Mont-sur-Marchienne;Opticien;;(+32)71 /43.22.43
MULTICOPIE BERNARD;Avenue Paul Pastur;127-129;6032.0;Mont-sur-Marchienne;Imprimeur;Copy service;071 / 36 62 92
OXY ZEN;Avenue Paul Pastur;229;6032.0;Mont-sur-Marchienne;Fleuriste;;071 51 50 25
PACICO FRERES;Rue du Cimetiere;19;6032.0;Mont-sur-Marchienne;Funérarium;Monuments funéraires;071 36 33 26
PARADISE OUTLET STORE;Avenue Paul Pastur;133;6032.0;Mont-sur-Marchienne;Mode;;0488 47 40 76
PROXIMUS;Avenue Paul Pastur;59;6032.0;Mont-sur-Marchienne;Téléphonie;;
Le Centre Automobile (Audi);Avenue Paul Pastur;408;6032.0;Mont-sur-Marchienne;Voiture;Concessionnaire;071 44 09 80
SCLIFFET;Avenue Paul Pastur;379;6032.0;Mont-sur-Marchienne;Coiffeur;;071 43 78 94
Airspace Indoor Skydiving;Rue Charles Lindbergh;26;6041.0;Gosselies;Loisirs;Simulateur de chute libre;071/91 91 00
Aldi;Rue des Emailleries;8;6041.0;Gosselies;Grande surface;;
Auto 5;Rue Tahon;10;6041.0;Gosselies;Voiture;;071/349990
Bara;Faubourg de Bruxelles;18;6041.0;Gosselies;Auto-école;;071 35 50 03
Bertoncello;Rue du Cerisier;18;6041.0;Gosselies;Construction;Cheminées;071/37 04 07
Bouvy Motor;Rue Pont-à-Migneloux;24;6041.0;Gosselies;Voiture;Concessionnaire;071/85 35 35
Bulthaup;Route Nationale 5;193;6041.0;Gosselies;Maison & Décoration;Cuisines;071 34 72 00
Cardoen;Rue Robesse;28;6041.0;Gosselies;Voiture;;071/21 23 90
Carpet Right;Rue de la Renaissance;10;6041.0;Gosselies;Maison & Décoration;;071 34 42 43
Carrefour;Rue Tahon;16;6041.0;Gosselies;Grande surface;;071/250611
Casa;Avenue du Grand Vivier;7;6041.0;Gosselies;Solderie;;071/34 38 32
Celio;Avenue Chêne St Jean;22;6041.0;Gosselies;Mode;;071 35 44 89
Chez David;Rue du Calvaire;8;6041.0;Gosselies;Alimentation générale;;
Cuisines Schmidt;Avenue des Etats-Unis;36;6041.0;Gosselies;Maison & Décoration;Cuisines;071 20 90 00
Demonte Fagnart Van Yck;Place des Martyrs;23;6041.0;Gosselies;Maison & Décoration;Combustibles;071/35 37 70
Design Window;Chaussée de Bruxelles;5 A;6041.0;Gosselies;Construction;Châssis;071/82 74 74
Di;Avenue Chêne St Jean;1;6041.0;Gosselies;Grande surface;Bien-être;071 37 21 75
Diffusion Menuiserie;Avenue des Etats-Unis;110;6041.0;Gosselies;Grande surface;Bricolage;071/25 70 80
Distri Boissons;Rue Robesse;28;6041.0;Gosselies;Grossiste;Boissons;071/81 47 36
Eggo;Route Nationale 5;189;6041.0;Gosselies;Maison & Décoration;Cuisines;071 35 71 39
Electro Dépôt;Rue Tahon;61;6041.0;Gosselies;Electronique;;071/12 14 30
Game Cash;Rue des Bancroix;20;6041.0;Gosselies;Loisirs;Dépôt-Vente;071/37 43 47
Guns et fils;Chausée de Fleurus;111;6041.0;Gosselies;Construction;Tailleur de pierre;071 34 10 63
Guy Lardinois;Chaussée de Courcelles;79;6041.0;Gosselies;Industrie;Métal;071/34 16 55
Heytens;Avenue des Etats-Unis;38;6041.0;Gosselies;Maison & Décoration;;071 34 11 77
Immo & CO;Rue Modeste Cornil;7;6041.0;Gosselies;Immobilier;;
Kids City;Avenue des Etats-Unis;36;6041.0;Gosselies;Loisirs;Plaine de jeux;071 34 30 23
L&M coiffure;Rue du Spinois;28A;6041.0;Gosselies;Coiffeur;;071 35 06 60
La Grignotte;Place des Martyrs;1;6041.0;Gosselies;Snack;Sandwicherie;
Le Roi du Matelas;rue de la Pépinière;22;6041.0;Gosselies;Maison & Décoration;Literie;071 37 21 00
Leenbakker;Avenue du Chêne Saint Jean;2 / 6;6041.0;Gosselies;Maison & Décoration;Meubles;071/34 49 06
Lidl;Avenue du Grand Vivier;18;6041.0;Gosselies;Grande surface;;0800/73 520
LuisAnge;Rue du Spinois;28B;6041.0;Gosselies;Mode;;
Media Markt;Rue de Namur;140;6041.0;Gosselies;Electronique;;071 25 94 40
Mobalpa;Rue Pont-à-Migneloux;1;6041.0;Gosselies;Maison & Décoration;Cuisines;071/85 44 30
Moto classic;Faubourg de Bruxelles;32;6041.0;Gosselies;Voiture;;
NB Sat;Avenue du Chêne Saint Jean;7;6041.0;Gosselies;Informatique;Satellite;071/37 08 70
ND Style;Rue Modeste Cornil;40;6041.0;Gosselies;Coiffeur;;0496 98 13 98
Optique Brennet;Rue Astrid;3;6041.0;Gosselies;Opticien;;071 37 65 22
Optique Wairy;Rue de Namur;3;6041.0;Gosselies;Opticien;;071 357 045
Pharmacie Baldini;Place des Martyrs;25;6041.0;Gosselies;Pharmacie;;071/35 10 33
Pharmacie du Progrès;Rue Astrid;15;6041.0;Gosselies;Pharmacie;;071 35 03 54
Pharmaclic;Rue de Namur;138;6041.0;Gosselies;Pharmacie;;071 35 27 29
Plaisir de voir;Chausée de Fleurus;101 A;6041.0;Gosselies;Opticien;;071 41 25 16
Primode Gosselies;Rue du Calvaire;18;6041.0;Gosselies;Mode;;0476/909992
Procahr;Rue Pont-à-Migneloux;1;6041.0;Gosselies;Voiture;Occasions;071/87 02 03
Sarro Cuisines;Rue de la pépinière;11;6041.0;Gosselies;Maison & Décoration;Cuisines;071 37 24 54
SFIC;Rue des Emailleries;4;6041.0;Gosselies;Construction;Isolation;071/91 91 10
Sigma studio;rue de la Renaissance;4;6041.0;Gosselies;Construction;Peintures;071 36 49 30
Snack du Faubourg;Faubourg de Bruxelles;58;6041.0;Gosselies;Snack;;0489 03 45 00
Techniflam SPRL;Rue de Namur;56;6041.0;Gosselies;Construction;Chauffage;071 / 344 434
Winsol;Rue du Chemin de fer;20 G;6041.0;Gosselies;Construction;Châssis;071/350515
Wurth;Avenue des Etats-Unis;9;6041.0;Gosselies;Industrie;Fixations;071 37 40 46
X2O;Route Nationale 5;187;6041.0;Gosselies;Maison & Décoration;Salles de bain;071 34 22 03
VLR Renard;Rue Robesse;13 bte H;6041.0;Gosselies;Voiture;Pièces;0479/424384
ELLE O STYLE;AVENUE DE L EUROPE;46;6010.0;Couillet;Coiffeur;;0499/27.79.92
Eco Pellets;Place Basile Parent;10;6010.0;Couillet;Maison & Décoration;Poêllerie;071/477750
LA VERVIETOISE;ROUTE DE CHATELET;99;6010.0;Couillet;Boulangerie;;071/36.03.41
COIFFURE ELYSEE;ROUTE DE CHATELET;103;6010.0;Couillet;Coiffeur;;071/47.26.97
AUTOSTOP;ROUTE DE CHATELET;554;6010.0;Couillet;Voiture;Occasions;0497/51.32.12
EXCELLIUM CARS;ROUTE DE CHATELET;421;6010.0;Couillet;Voiture;;0488/81.72.73
BULLMAN;ROUTE DE PHILIPPEVILLE;113;6010.0;Couillet;Voiture;;071/441063
API;ROUTE DE PHILIPPEVILLE;153;6010.0;Couillet;Voiture;;071/960098
STATION SUD;ROUTE DE PHILIPPEVILLE;197;6010.0;Couillet;Station essence;;071 36 91 15
PRINK;ROUTE DE PHILIPPEVILLE;365;6010.0;Couillet;Informatique;;071 43 74 47
ONCLE BERTUS;ROUTE DE PHILIPPEVILLE;441;6010.0;Couillet;Coiffeur;;071/361936
LA MAISON BELGE DU CREDIT;ROUTE DE PHILIPPEVILLE;457;6010.0;Couillet;Banque & Assurance;;071 43 93 09
Delalieux;Route de Philippeville;158;6010.0;Couillet;Photographe;;071/369837
KREFEL;ROUTE DE PHILIPPEVILLE;303/12;6010.0;Couillet;Electronique;Electro-ménager;071/475376
CASA;ROUTE DE PHILIPPEVILLE;303/16;6010.0;Couillet;Solderie;;071/511946
CASH CONVERTERS;ROUTE DE PHILIPPEVILLE;303/7;6010.0;Couillet;Autres;Dépôt-Vente;071 42 03 19
AVA;ROUTE DE PHILIPPEVILLE;303/25;6010.0;Couillet;Librairie;Papeterie;071/693108
CELIO;ROUTE DE PHILIPPEVILLE;303;6010.0;Couillet;Mode;;071/470676
SLENDER YOU;ROUTE DE PHILIPPEVILLE;221;6010.0;Couillet;Sport;Salle de fitness;071/439843
LEONIDAS;ROUTE DE PHILIPPEVILLE;323;6010.0;Couillet;Chocolatier;;071/510046
New Concept Chassis;Route de Philippeville;498;6010.0;Couillet;Maison & Décoration;;(+32) 71 51 92 63
Keiser;Route de Philippeville;;6010.0;Couillet;Construction;Menuiserie;071/366021
STUDIO ROBERT;RUE DE GILLY;172;6010.0;Couillet;Coiffeur;;071 36 42 29
INDIGO NAILSALON;RUE DE GILLY;394;6010.0;Couillet;Bien-être;Ongles;0489/514960
Esprit Car;Rue de la Corniche;48;6010.0;Couillet;Voiture;Occasions;071/958393
NEW LINE;RUE DE GILLY;179;6010.0;Couillet;Bien-être;;071 43 89 84
Le Villers;Rue de Villers;177;6010.0;Couillet;Café;;
Assurances Philippe Bolle;RUE DES BRIQUERIES;13;6010.0;Couillet;Banque & Assurance;;071/435046
Duo;Rue du 22 Août;17;6010.0;Couillet;Coiffeur;;071/369813
GPB Textiles;Rue Emile Vandervelde;10;6010.0;Couillet;Mode;;
Pharmacie P. Mustin;Rue Emile Vandervelde;7;6010.0;Couillet;Pharmacie;;071/360773
Coiffeur Jacques;RUE JEAN JAURES;1;6010.0;Couillet;Coiffeur;;
Renga et Chif;Avenue Caporal Alain Debatty;60;6060.0;Gilly;Voiture;;071 48 72 85
Loyds Pharma;Chaussée de Ransart;54B;6060.0;Gilly;Pharmacie;;071 41 07 42
Cuismo Euro SA;Rue de la Verrerie;20;6060.0;Gilly;Maison & Décoration;Cuisines;071 41 41 31
Chez Omer;Chaussée de Châtelet;270/01/1;6060.0;Gilly;Alimentation générale;;(+32) 486 73 78 89
Sylvie Campisi;Chaussée de Châtelet;272;6060.0;Gilly;Coiffeur;;0492 77 30 73
Neckermann;Chaussée de Lodelinsart;4;6060.0;Gilly;Voyages;;071 48 99 05
Nill's;Chaussée de Lodelinsart;14;6060.0;Gilly;Bien-être;;0483 70 86 88
Latino Mode;Chaussée de Lodelinsart;22;6060.0;Gilly;Mode;;071 489063
Chez Celena;Chaussée de Lodelinsart;89;6060.0;Gilly;Mode;;071 41 71 41
Linea R;Chaussée de Lodelinsart;151;6060.0;Gilly;Coiffeur;;071 48 98 63
Sambrelec;Chaussée de Lodelinsart;336;6060.0;Gilly;Electronique;;071 / 34 96 96
Carrelage;Chaussée Impériale;10;6060.0;Gilly;Maison & Décoration;;
Loriane Voyages;Chaussée Impériale;41;6060.0;Gilly;Voyages;;(+32) 71411900
Parfumex;Chaussée Impériale;45;6060.0;Gilly;Coiffeur;Commerciale de coiffure;071 41 02 04
C&A;Chaussée Impériale;65A;6060.0;Gilly;Mode;;(+32) 22576520
Basic Fit;Chaussée Impériale;65;6060.0;Gilly;Sport;;02 588 77 10
Partners;Chaussée de Fleurus;10;6060.0;Gilly;Banque & Assurance;;(+32)71280560
Sybel;Chaussée de Fleurus;42;6060.0;Gilly;Alimentation générale;;0470 11 85 04
Maison Steinier;Chaussée de Fleurus;132;6060.0;Gilly;Loisirs;Musique;071 42 08 02
Magie R;Chaussée de Fleurus;133;6060.0;Gilly;Coiffeur;;071 41 40 13
Aux Délices;Chaussée de Fleurus;165;6060.0;Gilly;Boulangerie;;
SPRL Goffart;Chaussée de Fleurus;230/232;6060.0;Gilly;Construction;;071 41 02 19
Sprint;Chaussée de Fleurus;588;6060.0;Gilly;Station essence;;
Ladbrokes;Chaussée de Fleurus;590A;6060.0;Gilly;Paris sportifs;;071 41 67 88
Elle O Style;Avenue de l'Europe;46;6001.0;Marcinelle;Coiffeur;;0499/ 27 79 92
MCA Security;Avenue de Philippeville;208;6001.0;Marcinelle;Maison & Décoration;Alarmes;071/368809
Orange;Avenue de Philippeville;159;6001.0;Marcinelle;Téléphonie;;071/ 47 55 57
Renmans;Avenue de Philippeville;223;6001.0;Marcinelle;Boucherie;;071/519028
Jim's;Avenue de Philippeville;223;6001.0;Marcinelle;Sport;Salle de fitness;071/812038
Cetin Pneus;Avenue de Philippeville;294;6001.0;Marcinelle;Voiture;Pneus;0485/926010
Libor;Avenue de Philippeville;288;6001.0;Marcinelle;Maison & Décoration;Alarmes;071/316732
Pin's;Avenue Mascaux;58;6001.0;Marcinelle;Café;;071/ 43 86 07
Crelan (Agence Fannoy et Furnemont);Avenue Mascaux;9;6001.0;Marcinelle;Banque & Assurance;;071 47 22 55
L'Artiste;Avenue Mascaux;53;6001.0;Marcinelle;Coiffeur;;0475/ 60 28 09
Uranie;Avenue Mascaux;115;6001.0;Marcinelle;Bien-être;;071 36 85 76
Panzarella;Avenue Mascaux;139;6001.0;Marcinelle;Boulangerie;;071/ 36 42 49
Argenta;Avenue Mascaux;130;6001.0;Marcinelle;Banque & Assurance;;071/ 43 04 68
Taverne « L'Hôtel de Ville »;Avenue Mascaux;151;6001.0;Marcinelle;Café;;071/ 86 61 66
Vandevelde Douillet;Avenue Mascaux;157;6001.0;Marcinelle;Banque & Assurance;;071/ 43 48 58
Steve coiffure;Avenue Mascaux;160;6001.0;Marcinelle;Coiffeur;;071/ 43 70 59
Lukoil;Avenue Mascaux;298;6001.0;Marcinelle;Station essence;;071/ 47 19 92
Vap Style;Avenue Mascaux;380;6001.0;Marcinelle;Autres;Cigarettes électroniques;0495/48 89 26
Comptoir des Bonnes Affaires;Avenue Mascaux;384;6001.0;Marcinelle;Solderie;;071/ 47 54 24
Le Royaume du Soldat;Avenue Mascaux;475;6001.0;Marcinelle;Loisirs;Figurines;071/ 36 25 45
Elia hair;Avenue Mascaux;460;6001.0;Marcinelle;Coiffeur;;071/36 62 21
Remualdo;Avenue Mascaux;474;6001.0;Marcinelle;Coiffeur;;071/36 16 96
La Bretelle;Avenue Mascaux;563;6001.0;Marcinelle;Café;;0486/78 35 13
Maga-Vins;Avenue Mascaux;657;6001.0;Marcinelle;Vins & spiritueux;;071/37 25 30
Cary's élégance;Avenue Mascaux;582;6001.0;Marcinelle;Bien-être;;071/47 31 32
Galerie Idéal;Avenue Meurée;36;6001.0;Marcinelle;Maison & Décoration;Meubles;071/361066
Chez Méla;Avenue Meurée;25;6001.0;Marcinelle;Alimentation générale;;071/47 32 44
Tabac shop du pont neuf;Avenue Meurée;37;6001.0;Marcinelle;Alimentation générale;;
Kia;Avenue Paul Pastur;24;6001.0;Marcinelle;Voiture;;071/44 06 00
La Bannera;Avenue Paul Pastur;65;6001.0;Marcinelle;Café;;
Pharmacie;Avenue Paul Pastur;117;6001.0;Marcinelle;Pharmacie;;
Gamma;Avenue Paul Pastur;139;6001.0;Marcinelle;Grande surface;;071/43 68 26
L'Objectif Immobilier;Place de la Constitution;24;6001.0;Marcinelle;Immobilier;;071/431246
Paris Création;Place de la Villette;1;6001.0;Marcinelle;Coiffeur;;071/432115
Chez Kubra;Rue Albert Brachet;76;6001.0;Marcinelle;Alimentation générale;;071/361210
Bio Cap;Rue Constantin Meunier;8;6001.0;Marcinelle;Grande surface;Bio;071/56 06 82
Robben Carrosserie;Rue Constantin Meunier;138;6001.0;Marcinelle;Voiture;Carrosserie;071/439171
Point Break;Rue de la Bruyère;246;6001.0;Marcinelle;Snack;Sandwicherie;0491/36 11 76
Pittsburgh Café;Rue de l'Ange;12;6001.0;Marcinelle;Café;;0492/77 77 86
Funérarium 2000;Rue de Nalinnes;144;6001.0;Marcinelle;Funérarium;;071/361136
L'Oustal;Rue de Nalinnes;441;6001.0;Marcinelle;Traiteur;;071/95 34 09
Au Nouveau Franc;Rue de Vilette;79;6001.0;Marcinelle;Café;;071/47 02 07
Plastic Wauters;Rue des Cayats;56;6001.0;Marcinelle;Autres;Plastique;071/600400
Le Golden Snack;Rue des Hiercheuses;11;6001.0;Marcinelle;Snack;;071/511318
Coiffure Patricia;Rue des Monts;70;6001.0;Marcinelle;Coiffeur;;071/368924
Pharmacie du Cazier;Rue Florian Montagne;188;6001.0;Marcinelle;Pharmacie;;071/364344
Céline Parisi;Rue Jules Destrée;157;6001.0;Marcinelle;Bien-être;;071/363839
Gelateria Osvaldo;Rue la Tombe;192;6001.0;Marcinelle;Artisans;Glacier;071/958922
La Turquoise;Rue Pierre Bailly;11;6001.0;Marcinelle;Boulangerie;;
MC & S;Rue Vital Françoisse;220 hall 12;6001.0;Marcinelle;Industrie;Métal;071/47 07 00
Center Tir Stevens;Rue Vital Françoisse;220;6001.0;Marcinelle;Sport;Centre de tir;071/45 96 96
CARREFOUR MARKET;Avenue du Centenaire;56;6061.0;Montignies-sur-Sambre;Grande surface;;071/32.70.86
L'EXPRESS SHOP;Avenue du Centenaire;58 A;6061.0;Montignies-sur-Sambre;Alimentation générale;;
SNACK  (Savas Senol);Avenue du Centenaire;58;6061.0;Montignies-sur-Sambre;Snack;;071/70.03.01
SI-BELLE;Avenue du Centenaire;113;6061.0;Montignies-sur-Sambre;Coiffeur;;(+32) 495 49 05 61
GARAGE DOYEN;Avenue du Centenaire;233;6061.0;Montignies-sur-Sambre;Voiture;;071/30.91.20
Garage Flamme;Avenue du Centenaire;272;6061.0;Montignies-sur-Sambre;Voiture;Garagiste;0475/37.34.74
Carrelages Carlo;Avenue du Centenaire;274 B;6061.0;Montignies-sur-Sambre;Construction;Carrelages;071/32.25.40
Au petit cordonnier;Avenue du Centenaire;44;6061.0;Montignies-sur-Sambre;Mode;Cordonnier;071/32.34.05
Taajcom;Chaussée de Charleroi;32;6061.0;Montignies-sur-Sambre;Grande surface;;0491/08.48.41
AUTO EST (Renault Dacia);Chaussée de Chatelineau;280;6061.0;Montignies-sur-Sambre;Voiture;;071/20.07.80
DREAM CARS;Chaussée de Chatelineau;266;6061.0;Montignies-sur-Sambre;Voiture;;0476/618462
PYROTECH SPRL;Chaussée de Chatelineau;254;6061.0;Montignies-sur-Sambre;Maison & Décoration;Cuisines;071/326805
TOURNESOLS;Chaussée de Chatelineau;315;6061.0;Montignies-sur-Sambre;Grande surface;Plantes;071/276585
Centre Auto Nord;Chaussée de Namur;67;6061.0;Montignies-sur-Sambre;Voiture;;071/415007
Louis Delhaize Neuville;Grand Rue;94;6061.0;Montignies-sur-Sambre;Grande surface;;071/506320
Librairie Max;Grand Rue;92;6061.0;Montignies-sur-Sambre;Librairie;;071/327166
The Liberty;Place Albert 1er;38;6061.0;Montignies-sur-Sambre;Café;;
Au Bon Coin;Rue Brigade Piron;51;6061.0;Montignies-sur-Sambre;Alimentation générale;;
L'Artisan du Pain;Rue Brigade Piron;249;6061.0;Montignies-sur-Sambre;Boulangerie;;071/946719
Pharmacie Bovy;Rue Brigade Piron;308;6061.0;Montignies-sur-Sambre;Pharmacie;;071/317705
VAP & CO;Rue de la Fontaine;1;6061.0;Montignies-sur-Sambre;Autres;Cigarettes électroniques;
Chez Enza, Philippe & Maurizio;Rue de Lodelinsart;98;6061.0;Montignies-sur-Sambre;Alimentation générale;;071/41.14.82
L'Escapade de Beauté;Rue des Gayettes;13;6061.0;Montignies-sur-Sambre;Bien-être;;0470/84.48.72
PHARMACIE SANDERMANS;Rue des Preys;84;6061.0;Montignies-sur-Sambre;Pharmacie;;071/31.21.29
DIMA CHASSIS VINCE;Rue du Marais;34;6061.0;Montignies-sur-Sambre;Construction;Châssis;071 48 71 54
Tabac Shop;Rue du Résolu;99;6061.0;Montignies-sur-Sambre;Alimentation générale;;
Bristol;Rue du Spirou;2;6061.0;Montignies-sur-Sambre;Mode;Chaussures;071/423150
